Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition
"Rs 5,775,000",Toyota,Vios,2007,"135,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 4,690,000",Toyota,Carina,2011,"185,000 km",Automatic,Petrol,"1,500 cc",Reconditioned
"Rs 17,300,000",Toyota,Hilux,2017,"141,000 km",Manual,Diesel,"2,500 cc",Used
"Rs 4,590,000",Toyota,Carina,2012,"193,000 km",Automatic,Petrol,"1,500 cc",Reconditioned
"Rs 12,500,000",Toyota,Raize,2025,"4,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 53,500,000",Toyota,Land Cruiser Prado,2017,"132,000 km",Automatic,Diesel,"3,000 cc",Used
"Rs 14,500,000",Toyota,Raize,2025,320 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 54,700,000",Toyota,Land Cruiser Prado,2024,"20,000 km",Tiptronic,Petrol,"2,700 cc",Used
"Rs 52,700,000",Toyota,Land Cruiser Prado,2023,"3,500 km",Tiptronic,Petrol,"2,700 cc",Used
"Rs 5,990,000",Toyota,Vitz,2007,"30,000 km",Automatic,Petrol,"1,300 cc",Used
"Rs 13,550,000",Toyota,Hilux,2024,0 km,Automatic,Diesel,"2,400 cc",Brand New
"Rs 25,650,000",Toyota,Hilux,2025,0 km,Automatic,Diesel,"2,800 cc",Brand New
"Rs 39,500,000",Toyota,Land Cruiser,2010,"170,000 km",Automatic,Petrol,"4,600 cc",Used
"Rs 15,950,000",Toyota,Land Cruiser Prado,2008,"223,000 km",Automatic,Petrol,"2,700 cc",Reconditioned
"Rs 58,000,000",Toyota,Land Cruiser Prado,2025,"1,600 km",Automatic,Petrol,"2,700 cc",Reconditioned
"Rs 6,750,000",Toyota,Belta,2010,"123,000 km",Automatic,Petrol,"1,000 cc",Used
"Rs 13,200,000",Toyota,CHR,2018,"110,000 km",Automatic,Petrol,"1,200 cc",Used
"Rs 11,250,000",Toyota,Axio,2017,"98,200 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 8,525,000",Toyota,Premio,2008,"170,000 km",Automatic,Petrol,"1,500 cc",Used
"Rs 14,500,000",Toyota,Raize,2026,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 9,375,000",Toyota,Yaris,2023,"63,000 km",Automatic,Petrol,"1,000 cc",Reconditioned
"Rs 14,900,000",Toyota,Raize,2026,0 km,Automatic,Hybrid,"1,200 cc",Brand New
"Rs 11,850,000",Toyota,Yaris,2025,0 km,Automatic,Petrol,"1,000 cc",Brand New
"Rs 17,750,000",Toyota,Yaris Cross,2024,"28,000 km",Automatic,Hybrid,"1,500 cc",Used
"Rs 61,200,000",Toyota,Land Cruiser Prado,2025,175 km,Automatic,Petrol,"2,700 cc",Brand New
