Price,Make,Model,Year,Mileage,Transmission,Fuel type,Engine capacity,Condition,vehicle_age
14550000,Toyota,Raize,2025,0.0,Automatic,Hybrid,1200.0,Brand New,1
14575000,Toyota,Raize,2025,0.0,Automatic,Hybrid,1200.0,Brand New,1
16850000,Toyota,Premio,2019,83000.0,Automatic,Petrol,1500.0,Used,7
14775000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
57900000,Toyota,Land Cruiser Prado,2024,0.0,Automatic,Petrol,2700.0,Brand New,2
11225000,Toyota,Axio,2016,219000.0,Automatic,Hybrid,1500.0,Used,10
9550000,Toyota,Allion,2012,77000.0,Automatic,Petrol,1500.0,Reconditioned,14
24500000,Toyota,Alphard,2014,104000.0,Automatic,Hybrid,2400.0,Used,12
14575000,Toyota,Raize,2026,6.0,Automatic,Hybrid,1200.0,Brand New,0
5690000,Toyota,Belta,2007,190000.0,Automatic,Petrol,1000.0,Used,19
12065000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
8275000,Toyota,Mark,2011,165000.0,Automatic,Petrol,2490.0,Used,15
14895000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
21695000,Toyota,Yaris Cross,2025,0.0,Automatic,Hybrid,1500.0,Brand New,1
7600000,Toyota,Axio,2008,100500.0,Automatic,Petrol,1490.0,Used,18
9975000,Toyota,RAV4,2013,153000.0,Automatic,Petrol,2360.0,Used,13
9500000,Toyota,Yaris,2023,34000.0,Automatic,Petrol,1000.0,Brand New,3
14950000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
18500000,Toyota,Premio,2018,65000.0,Automatic,Petrol,1500.0,Used,8
15250000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
57000000,Toyota,Land Cruiser Prado,2024,5000.0,Automatic,Petrol,2700.0,Brand New,2
14290000,Toyota,Raize,2025,300.0,Automatic,Hybrid,1200.0,Brand New,1
13590000,Toyota,Raize,2025,3800.0,Automatic,Petrol,1200.0,Reconditioned,1
7600000,Toyota,Hilux,2012,500000.0,Manual,Diesel,2500.0,Used,14
15200000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
14350000,Toyota,Raize,2025,172.0,Automatic,Hybrid,1200.0,Brand New,1
5950000,Toyota,Avanza,2010,245000.0,Manual,Petrol,1298.0,Used,16
13500000,Toyota,Raize,2025,0.0,Automatic,Petrol,1000.0,Brand New,1
11000000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
11299999,Toyota,Roomy,2025,10000.0,Automatic,Petrol,1000.0,Reconditioned,1
11790000,Toyota,Land Cruiser Prado,1997,230000.0,Manual,Diesel,3000.0,Used,29
18690000,Toyota,Fortuner,2013,160000.0,Automatic,Diesel,3000.0,Used,13
14450000,Toyota,Raize,2025,0.0,Automatic,Hybrid,1200.0,Brand New,1
11700000,Toyota,Taisor,2026,0.0,Automatic,Hybrid,1000.0,Brand New,0
12200000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
5890000,Toyota,Yaris,2010,122000.0,Tiptronic,Petrol,1400.0,Used,16
6375000,Toyota,Belta,2021,212000.0,Automatic,Petrol,1300.0,Used,5
38500000,Toyota,Land Cruiser Prado,2014,0.0,Automatic,Diesel,3000.0,Reconditioned,12
7975000,Toyota,Hilux,2010,240000.0,Manual,Diesel,2400.0,Used,16
13950000,Toyota,Raize,2024,8000.0,Automatic,Hybrid,1200.0,Reconditioned,2
13900000,Toyota,Land Cruiser Prado,2003,126000.0,Manual,Petrol,2700.0,Reconditioned,23
29500000,Toyota,Hilux,2025,0.0,Automatic,Diesel,2800.0,Brand New,1
12900000,Toyota,Raize,2023,23000.0,Automatic,Petrol,1200.0,Reconditioned,3
12050000,Toyota,Urban Cruiser,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
84500000,Toyota,Land Cruiser Prado,2024,400.0,Automatic,Diesel,2800.0,Brand New,2
10675000,Toyota,Raize,2019,86000.0,Automatic,Petrol,998.0,Reconditioned,7
25000000,Toyota,Harrier,2017,20000.0,Automatic,Petrol,2000.0,Used,9
11300000,Toyota,Premio,2013,167082.0,Automatic,Petrol,1500.0,Used,13
38000000,Toyota,Land Cruiser Prado,2015,89000.0,Automatic,Petrol,2700.0,Used,11
61700000,Toyota,Land Cruiser Prado,2024,5000.0,Automatic,Petrol,2700.0,Reconditioned,2
29500000,Toyota,Voxy,2024,6000.0,Automatic,Hybrid,1800.0,Reconditioned,2
12190000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
14300000,Toyota,Raize,2026,50.0,Automatic,Petrol,1200.0,Brand New,0
11895000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
17790000,Toyota,Harrier,2014,116000.0,Automatic,Hybrid,2400.0,Used,12
11750000,Toyota,Premio,2014,152000.0,Automatic,Petrol,1500.0,Used,12
28575000,Toyota,Hilux,2025,600.0,Automatic,Diesel,2800.0,Brand New,1
61000000,Toyota,Land Cruiser Prado,2025,50.0,Automatic,Petrol,2700.0,Brand New,1
13390000,Toyota,Raize,2025,4000.0,Automatic,Petrol,1000.0,Reconditioned,1
14490000,Toyota,Raize,2025,14000.0,Automatic,Hybrid,1200.0,Reconditioned,1
12000000,Toyota,Taisor,2026,50.0,Automatic,Petrol,1000.0,Brand New,0
14500000,Toyota,Raize,2025,3.0,Automatic,Hybrid,1200.0,Brand New,1
14900000,Toyota,Raize,2025,900.0,Automatic,Hybrid,1200.0,Brand New,1
28000000,Toyota,Hilux,2026,3.0,Automatic,Diesel,2800.0,Brand New,0
98590000,Toyota,Land Cruiser Sahara,2026,0.0,Automatic,Petrol,3500.0,Brand New,0
7300000,Toyota,Axio,2008,125000.0,Automatic,Petrol,1500.0,Used,18
8090000,Toyota,Aqua,2014,150000.0,Automatic,Hybrid,1500.0,Used,12
8550000,Toyota,Passo,2023,1104.0,Automatic,Petrol,1000.0,Reconditioned,3
74500000,Toyota,Land Cruiser Sahara,2013,30000.0,Automatic,Diesel,4500.0,Reconditioned,13
78500000,Toyota,Land Cruiser Prado,2024,3000.0,Automatic,Diesel,2800.0,Reconditioned,2
53000000,Toyota,Land Cruiser Prado,2023,9999.0,Automatic,Petrol,2700.0,Import,3
58500000,Toyota,Land Cruiser Prado,2024,10000.0,Automatic,Petrol,2700.0,Import,2
11875000,Toyota,Taisor,2025,0.0,Automatic,Petrol,1000.0,Brand New,1
14095000,Toyota,Raize,2025,8.0,Automatic,Hybrid,1200.0,Brand New,1
12490000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
31500000,Toyota,Land Cruiser 79,2025,3700.0,Manual,Diesel,2800.0,Used,1
6600000,Toyota,Avanza,2011,210000.0,Manual,Petrol,1300.0,Used,15
21900000,Toyota,Land Cruiser Prado,2009,179353.0,Automatic,Petrol,4000.0,Reconditioned,17
3285000,Toyota,Corolla,1998,315520.0,Automatic,Diesel,1974.0,Used,28
12150000,Toyota,Raize,2024,21567.0,Automatic,Petrol,1000.0,Reconditioned,2
3800000,Toyota,Carina,2008,185000.0,Automatic,Petrol,1500.0,Used,18
11900000,Toyota,Hilux,2026,0.0,Manual,Diesel,2400.0,Brand New,0
4165000,Toyota,Starlet,1997,168323.0,Automatic,Petrol,1330.0,Used,29
54950000,Toyota,Land Cruiser,2024,18000.0,Tiptronic,Petrol,2700.0,Used,2
8495000,Toyota,Passo,2024,32000.0,Automatic,Petrol,1000.0,Reconditioned,2
23500000,Toyota,Vellfire,2012,123000.0,Automatic,Hybrid,2400.0,Used,14
19900000,Toyota,Harrier,2014,63500.0,Automatic,Hybrid,2490.0,Used,12
9600000,Toyota,Vitz,2017,29800.0,Automatic,Petrol,1000.0,Used,9
7750000,Toyota,Aqua,2013,127000.0,Automatic,Hybrid,1500.0,Used,13
14750000,Toyota,Raize,2026,0.0,Automatic,Hybrid,1200.0,Brand New,0
16495000,Toyota,Yaris Cross,2024,23000.0,Automatic,Hybrid,1490.0,Reconditioned,2
12695000,Toyota,Raize,2024,19000.0,Automatic,Petrol,1200.0,Reconditioned,2
16695000,Toyota,Yaris Cross,2024,23000.0,Automatic,Hybrid,1490.0,Reconditioned,2
6900000,Toyota,Camry,2007,167000.0,Automatic,Petrol,2300.0,Used,19
12100000,Toyota,Raize,2025,20000.0,Automatic,Petrol,1000.0,Reconditioned,1
7900000,Toyota,Vitz,2016,116371.0,Automatic,Petrol,1000.0,Used,10
11750000,Toyota,Taisor,2026,0.0,Automatic,Hybrid,1000.0,Brand New,0
17700000,Toyota,Premio,2019,79000.0,Automatic,Petrol,1500.0,Used,7
15000000,Toyota,CHR,2018,62000.0,Tiptronic,Petrol,1190.0,Used,8
14350000,Toyota,Raize,2026,0.0,Automatic,Petrol,1200.0,Brand New,0
61000000,Toyota,Land Cruiser Prado,2024,5000.0,Tiptronic,Petrol,2700.0,Reconditioned,2
13995000,Toyota,Raize,2025,0.0,Automatic,Petrol,1200.0,Brand New,1
5300000,Toyota,Corolla,2001,260000.0,Automatic,Petrol,1500.0,Used,25
6550000,Toyota,Prius,2008,107000.0,Automatic,Hybrid,1500.0,Used,18
13975000,Toyota,Raize,2024,100.0,Automatic,Hybrid,1200.0,Brand New,2
16000000,Toyota,Yaris Cross,2023,45000.0,Automatic,Hybrid,1500.0,Import,3
6900000,Toyota,Yaris,2008,163474.0,Automatic,Petrol,1298.0,Used,18
6690000,Toyota,Yaris,2008,160879.0,Automatic,Petrol,1298.0,Used,18
6675000,Toyota,Other Model,2002,158694.0,Automatic,Petrol,1596.0,Used,24
11200000,Toyota,Roomy,2025,0.0,Automatic,Petrol,1000.0,Brand New,1
13000000,Toyota,CHR,2017,72000.0,Automatic,Petrol,1200.0,Used,9
13590000,Toyota,Raize,2023,36320.0,Automatic,Petrol,1196.0,Used,3
6600000,Toyota,Corolla,2008,71000.0,Automatic,Petrol,1600.0,Reconditioned,18
7695000,Toyota,Pixis,2025,12000.0,Automatic,Petrol,660.0,Reconditioned,1
6875000,Toyota,Avanza,2021,145470.0,Manual,Petrol,1500.0,Used,5
96000000,Toyota,Land Cruiser Sahara,2026,0.0,Tiptronic,Petrol,3000.0,Brand New,0
11000000,Toyota,Raize,2020,80000.0,Automatic,Petrol,1000.0,Used,6
58500000,Toyota,Vellfire,2025,500.0,Automatic,Petrol,2500.0,Brand New,1
12000000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
51750000,Toyota,Land Cruiser Prado,2023,17600.0,Automatic,Petrol,2700.0,Reconditioned,3
55000000,Toyota,Land Cruiser Sahara,2016,123000.0,Automatic,Petrol,4600.0,Used,10
11490000,Toyota,Urban Cruiser,2026,0.0,Automatic,Petrol,1000.0,Import,0
10950000,Toyota,Taisor,2026,0.0,Automatic,Petrol,1000.0,Brand New,0
10950000,Toyota,Taisor,2026,185661.0,Automatic,Petrol,1000.0,Brand New,0
31000000,Toyota,Land Cruiser Prado,2011,2000.0,Automatic,Petrol,2755.0,Used,15
16900000,Toyota,Yaris,2024,0.0,Automatic,Hybrid,1500.0,Reconditioned,2
54000000,Toyota,Alphard,2025,0.0,Tiptronic,Hybrid,2500.0,Brand New,1
